content	score
但是洪崖洞的夜色，需要在北岸回望，才能看到全貌，最好是坐缆车来回，就可以饱览两岸的夜景灯色。	0
景色不错，在锦里旁边，可以一起去	1
历史值得记忆，礼义忠孝必须提倡。	1
很不错 学习学习历史文化 值得去看看	1
这个是西岭雪山滑雪场的门票，当场下单当场玩，出票迅速。滑雪场分初级场和中级场，非常有意思的体验，而且是真的雪哎，太棒了，可惜夜场时间短了点，2个小时只能说是刚刚认识滑雪，不过玩的真的非常开心。	1
国庆去的，虽然人很多，但是感觉还是不错，体验比较好，换票的速度很快。	1
值得一游。家乡常年看不到雪的朋友更应该来玩一把。	1
才开发不久的商业区，各种小商品以及各式土特产、美食应有尽有，登高还能看到俯瞰到长江，挺不错的地方。	0
来武侯祠长知识啦！租了个电子导游讲解器，很好！	1
西岭雪山真的很美，冬天下雪后白雪皑皑，云雾缭绕！但是门票也很贵，门票跟两个索道都要分别收费，滑雪又是另外收钱	1
风景特别美，尤其下午去，人少也特别好，可是票价60我还是认为虚高了，然后全程除了看景色以外，趣味性较低，无工作人员在内服务，全程靠自己手机导航走动。	1
很好的一㳄安排。 希望下次出行也在这里购票	1
没去过可以去看看，了解一下历史	1
武侯祠实际上并非诸葛亮的墓地，因为至今诸葛亮的墓都没有被发现，景区内有刘备的墓，呈环形，其他主要是一些历史展览和亭台楼阁，总体来讲并非非常值得去	1
小朋友很喜欢，大人也可以跟着拍照乐	1
这就是一个坑，真的就是一个坑。	0
小偷太多，去了不到半小时，电话就被扒手偷了，警察来得到快，临控也去看了，也看到小偷了，然而并没有什么用，都只是走过常而已。影响心情！！	0
到景点才买的。挺好用的。讲解的很清楚。不然自己看肯定看不懂	1
春节人太多，服务没跟上....	0
没去过的可以看一下，靠近锦里人太多，比较乱，去锦里得可以顺带手去看看	1
很不错，历史悠久，回顾一下三国。	1
唱歌的还不错，听了好一会，还可以，风景也行	0
武侯祠是来成都必去的旅游景点，享有“三国圣地”之美誉。成都武侯祠现分文物区（三国历史遗迹区）、园林区（三国文化体验区）和锦里（锦里民俗区）三部分，武侯祠周边停车场众多，包括地上和地下，不愁担心没有车位。春节期间这里举办庙会，人山人海，来这里一般都是从武侯祠进入参观后，进入锦里品尝各种小吃。	1
比较繁荣的商业街而己、每个大型城市基本都会有这样的区域，	0
风景真的超级美，刚好去的那天蓝天白云，确确实实是一山一风景！不后悔买的全索道，上面风景才真的是极致，雪真白！	1
缆车里很多人都是站着的，很拥挤，也闷热，风景不错	0
景区游步道尤其是青龙桥一带的游部道台阶泥泞不堪，不见有人清洁，一路上看见有2人滑倒在地，......，在5A级景区不应该有这样糟糕的游部道路，服务保洁有待提升。	0
武侯祠可能是我国最小的帝王陵了，小巧别致的院落，君臣共处的庙堂，园内的景观设计的非常漂亮，小桥流水，最为突出的就是著名的“红墙竹影”不过找个没人的时候拍一张照片很难！	1
太商业化，没有自身的特色，这种地方太普通。	0
打开链接卡，门票扫二维码有免费的武侯祠解说，好像白买了	1
服务很好，早上来更好。空气太好了。心情好	1
院子不大，进去扫二维码就有免费讲解，逛完直接去锦里	1
这次去成都武侯祠正好赶上庙会，有种类繁多的各色美食和文创产品，还有演出和游园灯会，大饱眼福和口福，体会了浓浓的传统年味！	1
春节期间好热闹，人山人海，商铺生意兴隆。	1
武侯祠与锦里，刘湘墓园奇妙组合，成都一绝。	1
武侯祠位于四川省成都市南门武侯祠大街，是中国唯一的君臣合祀祠庙，由刘备、诸葛亮蜀汉君臣合祀祠宇及惠陵组成。始建于公元223年修建刘备陵寝。一千多年来几经毁损，屡有变迁。成都武侯祠现分文物区（三国历史遗迹区）、园林区（三国文化体验区）和锦里（锦里民俗区）三部分，面积约15万平方米，是全世界影响最大的三国遗迹博物馆。也是成都市一个主要的旅游参观点。我曾多次前往参观。	1
原价是60，因为成都旅游做优惠活动的原因，30个人。园子是很小的，基本是不到一个小时就可以转完。完整的了解的三国文华，配合着租的语音说明，很容易理解的！	1
感觉还不错，跟着导游，学习了好多知识。特别对孩子增长知识有益	1
还是比较值得去的一个地方，玩的人还蛮多的	1
环境真是没的说，像世外桃源，但是内容应该更丰富一些，最近装修，有几个景点没有开放，很遗憾	1
这里的地势真的很难逃，感觉不大的地方竟书写过那么大的历史...	0
景色还可以，有时间可以看看，还有微信公众号讲解！	1
人老多了，排队得2小时，过江3分钟，无座，白天无景色！	0
带着孩子一起去感受历史沉淀出来的那份古韵，感觉值得一游	1
西岭雪山比想象中壮观，小黄导游棒棒哒	1
游览感受不错，听着微信讲解，了解历史人物的始末，不错	1
晚上和同伴来回乘坐了两次长江索道，在江两边看重庆的夜景还是相当不错的！	0
不要门票，就一个碑可以拍照。周围都是各种购物，有一条小吃街可以吃吃。	0
西岭雪山分前山和后山，前山为大飞水景区，是纯徒步观光景区，后山为滑雪场景区，冬季可以滑雪	1
很好玩的 取票也比较方便666	1
人多，真心多……排了三个小时的队，做了3分多钟，不想排队的人别去了不过……夜景确实漂亮	0
景色不错，其他的凑合，还是请导游吧，要不然看不懂。。。	1
过年期间开庙会，武侯祠和锦里连接在一起，要是想看灯和庙会表演的，可以下午进去。里面可能是考虑庙会，香烛都熄了。去锦里就吃了糖果子和廖记棒棒鸡，糖果子就是炸糯米裹红糖汁(感觉成都重庆甜的都是红糖)，味道一般，廖记棒棒鸡味道很好，就是那红油滴到衣服上，3个人无一幸免。	1
很好很好哈哈哈哈哈哈哈哈哈哈哈哈	1
锦里就在边上，古建筑，庭园慢慢逛，	1
搞活动买的特价票，很便宜，也方便，溶洞特别漂亮，天坑倒是除了是天然形成的之外，没什么好玩好看的。	0
紧靠锦里，有吃有玩，红墙拍照很赞	1
取票十分方便，比景点还要便宜，非常好！！	1
首先要说，携程网的景点介绍是过了时的，是错误的。过去是有吊脚楼，现在没有了。最大的亮点没有了。再说乘坐玻璃电梯，地下有11层，全是商业摊床，卖东西的。所谓景点，就是一个雕塑了。没有什么可看的，外地人，如果时间不充裕，就没必要去了。	0
景色还行，文化底蕴强，是学习，了解三国人物的好去处	1
下次有机会带家人还可以来看看，景色不错。	0
雪山景色很好，滑雪很刺激，日月坪也值得一去	1
陪外地的朋友一起去的总体还算方便 总体还算方便 总体还算方便取票地点就在武侯祠右手边不远的地方	1
出来就到锦里很方便。。。。。。	1
不错不错！孩子都完了很高兴！每年玩雪的必到之处	1
第一次在网上订票，价格非常合理，比现场买票便宜不少，最主要的是省去了很多排队的时间，过年去的，人特别多，但是从来没排队，很舒服的一次旅行。	1
带上家人一起，雪景太漂亮了，值得推荐	1
晚上灯光很漂亮，适合在游船上拍照。所谓美食街，对川人来说就呵呵了，同一品种小吃销售联排出现，是在求震撼力吗？人工瀑布，冬天都臭气熏天，路过时要屏住呼吸快跑。来过几次，无论春夏都是品质如一的臭。	0
三国文化底蕴丰厚，喜欢三国文化的人值得一去。了解成都必须去的一个景点。	1
没去过动物园的这里还挺好，去过的就算了动物身上有点脏，动物生活环境有点差	0
很漂亮的地方，值得一去的。真的	1
看看三国的人物，三个伟人啊。赞	1
人实在是太多了，加上下雨，整个感觉一般般	1
不值得去，就是一个商业街，电梯很难挤得上！没有保存旧式的茶楼，也没有有价值的观赏点！除了嘉陵江上的那座桥！	0
禄造的蛮好蛮适当。周边环境优美。空气好。	1
赶上庙会有点乱，而且音乐放的太大声了，说话都听不见。	1
排队时间久，没有特殊的感受！！！	0
景区已免费，有车连接各景区，乘坐地铁或公交都很方便，登山后参观，需结合历史。	0
里面动物种类还挺多的，就是节假日去太多人了，最关键的是门票价格不贵…	0
武侯祠自身具有一定的文化内涵,其边上的锦里古街也是个值得一去的地方,锦里其实与武侯祠是相邻的。	1
怎么说呢       国庆人太多了     体验不大好	0
很有意思的交通方式，有点刺激。	0
很好，中国好旅馆！！！！！！！	1
动物园有点小。。。动物也不多~	0
没必要买联票。实际上是没必要玩这个联票里的所有。	0
千万不要去大足、一定会后悔、里面很小、很多地方都不开放、还在修建、门票还要170、半个小时就看完了，而且感觉都是骗人的！重庆其他景区都可以、唯独大足石刻会让你肠子都悔青	0
今天运气不错。还在下雪。  下次还要在携程订票	1
超级方便，出票快，推荐这种自助购物，第一次来成都还是可以转转这几个著名的景点的，挨着锦里，逛吃逛吃！	1
人多，人多，人多。过年可不能去！！	0
一般化，基本上就是一个院子，加了点碑文。还有一个院子没开放。	1
该景点有比较丰富的历史文化色彩，风景也不错，就是里面的商业设施和商业气息比较浓，有点冲淡了景点的古典文化气息。	1
20元一个来回，感觉距离太短了，没有什么特别亮眼的景色，也许是当天的天气原因吧，不管怎么样，来了重庆总归要去体验一下的！	0
一直以为武侯祠是纪念诸葛亮的，来了之后才知其正式名称叫“汉昭烈庙”，是纪念中国古代三国时期蜀汉皇帝刘备和丞相诸葛亮以及其他蜀汉英雄的君臣合祀祠宇。	1
山上滑雪区很好玩 而且我买的套票 免去了到一个地方又重新买票的麻烦！总之好评！	1
超级会员便宜了十元。刷身份证上去。	1
微信讲解做的不错，但本身历史比较厚重，觉得缺少趣味性，最好能有具体的路线图，标明游览顺序	1
景点美美哒！上面雪上项目很好玩！带儿去玩的很嗨！	1
出差的时候跟一个女同事来的，景区还可以，但我的注意力完全被女同事所吸引，最终......期待的一幕并未出现，只能埋藏在心底！	1
这个套票价格很划算，尤其是日月坪景色太美了！！就是时间不够，下午四点坐索道上山，太阳与月亮相互辉映，真的真的很美！云海也很美！简直不虚此行！以后一定还要去日月坪去玩！	1
蜀汉文化的体现，全国唯一的君臣合祀的寺庙！	1
六一去的，小孩子太多了，熊猫只能隔着玻璃很远的看	0
非常方便，到直通车取票很快，直接进了就可以了	1
❄️雪景很美，一直走到了阴阳界	1
因为喜欢滑雪，所以全集一起出动玩了3天，不错，以后还去	1
好长好长的索道，走了好远好久的时间。	0
就是个公园罢了。梅花挺香的，有个不大的遗址馆不错	1
武侯祠和锦里就在一起的，算不上是庙，三国的故事大家都是很清楚的，可以去看看，不过这里是需要门票的，君臣一庙我觉得噱头不大，没有诸葛亮，哪还有刘备什么事情	1
南方地区有这个高端滑雪场。是不是滑雪的乐园	1
上山遇到大雾天气，感觉身在仙境，还堆了个雪娃娃 哈哈哈	1
人太多了。取个票要几个小时。建议取票和排队坐览车的分开，本想取票后去玩其他的再回来坐索道，结果时间都在排队了。	0
里面没有什么东西 不值得看 旁边的锦鲤不错	1
如果喜欢三国，可以去一下。是和锦里挨着。很多小吃和小玩意买。整体感觉一般，算是中等吧	1
很棒，非常好，喜欢的朋友可以去体验一下	1
《水调歌头。武侯祠》崇拜诸葛亮，瞻仰武侯祠。君臣合祠昭烈，再论三国事。隆中三分天下，夺取荆州益州，汉中蜀汉峙。联吴烧赤壁，空城盖世智。征南方，伐北疆，六出祁山。鞠躬尽瘁，出师未捷身先逝。文韬琴棋书画，武略安邦定国，忠孝天下师。出仕学孔明，修身习诫子。	1
人山人海，只能远观大熊猫，门票贵，远远不如动物园好玩！	0
门口售票处可以买去杜甫草堂的票，持票可以坐门口的免费大巴去杜甫草堂。游览武侯祠的时候时间安排得比较紧凑，一直在边走边看，没怎么停下来休息。景区还是挺大的，全部逛下来还是稍微有点累的，不过有很多地方都可以坐着休息。参观了2个小时，把整个景区看了下来。里面的文物还是挺多的，喜欢这段历史的朋友们应该会喜欢。	1
夜游武侯祠，导游讲解的好，投影画面做的很好，表演也不错！	1
作为一个五A级景区，管理绝对是差评，还没有到停车场，一堆的人围上来说吃饭的话能带路，停车能很近，景区还没有到出口又一堆的人围上来兜售物品，而且从出口到停车场竟然有3-4公里路，私家车，小摩托不断围上来兜生意，和武隆景区的管理根本不能比，我已向大足旅游局投诉，门票的价钱和服务不成正比!	0
景色还不错，就是感觉景区票价有点小贵。去的时候人挺多的，上去时候雪很大，要注意保暖。小孩很喜欢哪里玩，最好带点吃的东西，景区上面什么都贵，可以随便吃点，，下来后在吃正餐。还有就是上面没啥免费玩耍项目，，什么都要收费感觉不太人性化。太商业性了。	1
赶上大庙会，非常热闹。里面的宋代石刻很精彩	1
据说是地标，可是很失望，就一个碑，别的什么也没有。周边没有有特色的小吃，建筑	0
超级方便，自助直接取票。当天现场排队至少要半小时以上。滑雪场地方大、雪地项目多，值得一去。	1
很不错，整体规划不错，景色石雕都很有地方特点。还有感觉很涨知识。商品太贵差评，但是东西都不错哦！	1
爱国主义教育基地好去处，历史意义深远！	1
人不少，网上订票，取票快，现订现取很方便。	1
武侯祠内面积不大，不会多会就能逛完，建议请个导游。这儿纪念的是诸葛亮，初建时曾与昭烈帝刘备的祠庙相邻，在明朝初年并入汉昭烈庙，成为中国唯一君臣合祀的祠庙。逛完直接到旁边 的锦里开吃。。。	1
门票挺便宜的.当天玩的时间游客还是比较多.和朋友蹦蹦跳跳的到处乱窜，有的动物还是没有出来没得看到.成都动物园是封闭式动物园很多游客都挤着一面玻璃上观看.动物还是相对比较齐全想想门票还是不会觉得不值得.下次还是去一个开放式动物园把call看看	0
主要是门口一堆算命的，其中有几个大妈算命的，强拉人算命，能管管吗寺庙附近在修。	0
电梯太坑，冬天不适合去，还下雨	0
人多没有秩序，排队插队的人太多，管理混乱	0
网络购票后到现场并没有体现出便捷快速通行，也可能是节假日的原因吧，反而排队的人群比直接门口买票的人还拥挤，体验感极差！	0
一向低调的我强烈建议不要去呢，排一个多小时的队，往返30元，真心不值！	0
并没有什么意思，一会儿就到了，景色也一般，还需要排队。主要是游客素质普遍太低，影响心情	0
可观看嘉临江，洪崖洞的景色一般	0
感觉不错，就是武侯祠不大，如果把锦里围起来还差不多。	1
三国历史方面内容太少，感觉不够厚重	1
取票方便快捷。早点上山，错过人流高峰期，省时省力省心，建议住山下。不过如果包里银子够多，强烈建议住山上。因为最近这两天晚上山上都在下雪。小孩玩得很开心，即使只有三岁半，坐着滑雪板一次又一次冲下山坡，玩到四点半都不想下山。	1
景色很好值得一来，早晨晚上都有不一样的风景，如果再遇上大雪纷飞，那就更美了，宛如童话世界一般，真是舍不得走走。好美，好美！	1
国内第一条过江索道，并不算长，有点旧。	0
值得去，有历史有故事有估计，更适合家庭参观	1
白公馆怎么说呢，离渣滓洞还是比较近的，有20元的通票大巴车可以坐。两个地方可以来回的参观，而且白公馆的话地方比较小。没什么好看的但主要看的还是情怀。	1
挺不错的，有历史意义，很是喜欢	1
需要讲解，不然根本领略不到三国文化。	1
挺好的 会议简单讲解一下 价钱超值	1
成都的一处知名景点，佔地不是很大，但是却很有名气，一般都会去玩一下。	1
很有意义的地方 这种地方要有讲解才能不枉此行 旁边紧挨着锦里 基本上每个侧门都可以出去到锦里巷 景区内景色很怡人 环境很好 干净卫生	1
取票比较方便。不要在武侯祠买杜甫草堂的门票。。。说车送过去，就是小巴，最后一排让坐4个人，特别挤。。。上了黑车的赶脚。。。	1
无声的雪，还在飘飘洒洒，却重重落在我的心里，唤起了我对冬天的使者--雪花的爱。雪花，并不只是寒冷，它有颗热忱温暖的心。它无私地在阳光的照耀下融化的自己，化做水分供给大地，滋润世间的万物。	1
其实这个地方我认为真的很无聊。我们坐车上去还被坑了，反正各种无聊。不知道为什么人还那么多。如果你不是对革命烈士很感兴趣，对中国历史感兴趣的话建议不要去。反正我是去了就后悔了。	0
商业化太严重了，就是一个逛街吃饭的地方！	0
有关诸葛亮和三国的内容，很有历史意义与价值，里面的武侯祠匾额是郭沫若题的！	1
做了一些容易忽视的细节之处的补充介绍，对于喜欢三国的游客而言有一定帮助	1
刘关张诸葛亮的祠堂里面有刘备陵墓。整体园区干净整洁，清朝建设，整体规划面积不错。这种有文化底蕴的祠堂需要有专门讲解才行，一些典故，还需要讲解。整体可以。	1
值得细细的欣赏一下这些风景秀丽的地方	1
不怎么好玩，主要是我们去看的时候大熊猫都在睡觉！	0
里面基本是上是小东西，很多铺面都关门了，感觉很萧条，只有小吃街有很多人	0
好玩有趣，非常棒！滑雪还有飞碟还有很多娱乐项目。	1
很一般的体验。如果只是白天有时间去完全可以放弃，更没有必要坐个来回。如果能周末晚上体验可能还行，我们是白天去的，人多，没什么意思，还好计划不是往返。	0
景点感觉一般般，很快就逛完啦。	1
蓝蓝的天空 皑皑的白雪 景色优美 值得来玩	1
可惜在装修有些看不到，微信讲解很有意思。	1
一定要听着讲解看，比较长知识。	1
建议对三国历史人物了解的多一些再去，会更有意思。	1
取比较方便，就是门票价格偏高，等时间长	1
武侯祠，是一个很古老的祠堂，环境也是很好的，一共三个门挺，真的好看。	1
微信服务不错，人文价值大，一个小时有点少	1
风景很好，适合锻炼身体。爬山，南山上的火锅店很多，口味也不错	0
正好赶上周末，人特别多，上山下山都排了一个多小时，山下上厕所也排了一个多小时。好在儿子玩得很开心，还值得!	1
去之前都听说是看美女得地方，好高端，去之后。。。。什么啊，可能对于西南来说是个大些的商业区，但我想成都应该也有类似的，而如果是从北京上海过来的，应该不算什么，美女的话，还好吧，皮肤很好，但是个子不高。穿着就算现代吧，但是其他地方也真是很土，很朴实。很遗憾周围的十八街拆迁	0
原以为最近两天到西岭雪山的人比较少，结果去了人还是蛮多的，索道上还是排上了长长的队伍。	1
总体还是不错，上山等公交车等太久了，高峰期该多安排点车！风景还是很好，下次有机会来会到阴阳界看看，这次时间还是有限，没能上去，没有滑雪，看到滑雪系统出了问题，很多人都在排队不能进去，希望景区不好的地方有改善！	1
武侯祠是纪念名丞相诸葛亮的祠堂。祠堂里供奉刘备，诸葛亮等蜀汉英雄50人，可以了解诸葛亮以及三国文化。人挺多的，大概来成都的人都会来这儿凭吊诸葛亮。武侯祠有门进入锦里民俗区尝各种小吃。	1
古战场将士们的安息之所，文化气息浓郁的园林建筑。	1
不建议去看天坑，真的很坑。仙女山下雪值得一去，武隆城区夜景还不错。	0
熊猫都很懒，看不到几只在外面活动，天气太热了，小的也就一个可以看，但是人太多了。	0
不错的地方，值得去一次，只是去一次啊。	1
带孩子来这，把书上的知识实质化了，很好!	1
很好玩儿的一个地方，值得一来呀！	1
没能滑雪挺遗憾的，但是小朋友玩雪玩高兴啦	1
很好的亲子游去处。要注意避免周末去以避开人流。建议在山下客栈住一晚，这样行程要从容许多。	1
对三国演义熟悉的朋友值得去看看，前部是刘备祠，后部是诸葛亮祠，旁边是刘备墓，都是真古迹。旁边的锦里是老成都的街巷文化，也值得去看看并品尝一下小吃。	1
熊猫加起来看没超过10只，很多地方闭门，真不值得去，为啥这么多人推荐，不明白	0
一次非常愉快的旅行，儿子非常开心，说有机会还要再来	1
挺好的，里面还有讲解。玩的很开心。	1
非常好，比实地便宜10块钱，每次出行都用携程网，方便快捷！	1
一般般吧，性价比比较低，三国的奇闻异事，这里都有提到，对了解三国的人是个好去处	1
人太多了，就是人太多了！！！！	1
还好吧  正好赶上了灯会  人很多	1
3月份去的，景色真心美，有湖，有亭，有桥～到处花草树木，值得一去。	1
值得一来哟！紧临锦里、另：皇城坝小吃，在武侯祠距离几百米！便宜实惠！	1
来的时候内部正在维修，文臣展列区看不成，主要区域都被围挡了，再按原价收取门票就不合理。	1
武侯祠是刘备及儿孙和大臣们的祠堂，因为诸葛亮名气更大所以又叫武侯祠。景区有wifi但不稳定，有公众号里面有免费讲解，可以一边听讲解一边浏览。岳飞撰写的前后出师表很霸气，整个景区地方不大，两小时能走完。逛完可以去隔壁的锦里需要注意的是残疾票在六号窗口，售票处旁边，非常小，有需要的注意一下。	1
爱国主义教育必去之地	0
见到很多历史出土物，回味历史无穷。工作人员服务很到位	1
还好吧，景点有微信解说8元钱。	0
武侯祠全景展现了东汉末年三国时期蜀国的历史！值得一游！	1
人多，景区服务混乱，只有熊猫撑场	0
人多 但看明白的少 早去为上！	1
既有厚重的历史，又有精美的园林景观，是成都人气最旺的地点，可以称为城市符号。	1
想了解三国时期蜀国的历史，可以来此看看，武侯祠里岳飞写的《出师表》非常值得一看！与它近邻的锦里可以去吃地道的川味小吃，品川茶，看变脸！	1
不值得去，排队一个多小时，价格涨了，在里面什么都看得一般般，还不如去龚滩古镇看夜景！	0
景观大于人文吧，里面园林很不错，人文气息就淡了很多呢。尤其是春天里面园林真美呀。离锦里一步之遥	1
对大多数人来说，三国中最亲近的是蜀国。而蜀国之中流砥柱就是武侯。死而后已的典范，让人敬佩！	1
对于喜欢三国历史的人不是应该参观一下的。	1
非常感兴趣的地方！去的那天正好下大雨，但是阻止不了我们游玩的热情啊，地方比较大，景色也很漂亮，又增长了不少新知识！	1
还行就那样吧陪亲戚好友去的啊	1
看坑，果然坑。一条小路下去，也许是国庆的原因，又或者宣传做的太好。个人感觉，着实一般。	0
离磁器口比较近的免费的景点，原为四川军阀白驹的郊外别墅，和渣滓洞一起，是重庆重要的红色景点，参观的游客很多，很多课本上的内容展现出来。	1
还好吧，就是人太多了，走马观花，建议平时去	1
解放碑在重庆是一个地名，是重庆最繁华的商业中心，类似北京的王府井大街、上海的南京路。因步行街中心有一座[人民解放纪念碑]而得名。抗战时，国民政府迁都重庆，为了动员民众抗日救国，在市中区建成了一座碑形建筑，名为[精神保垒]。 抗战胜利后，国民政府在[精神堡垒]原址上修建[抗战胜利纪功碑]，记全国军民浴血奋战之功，是全中国唯一的一座纪念中华民族抗日战争胜利的国家纪念碑。1949年重庆解放，[抗战胜利纪功碑]改为[人民解放纪念碑]。解放碑商业步行街周围还有洪崖洞、罗汉寺、重庆美术馆可以游览。洪崖洞是一处仿古建筑商业街，极具重庆立体交通特色，在那里可以看重庆江景和夜景、品重庆特色小吃。从纪念碑步行约10多分钟。重庆美术馆，极像上海世博会中国馆的造型，那里经常有免费的书画展，从纪念碑步行约2分钟。交通：坐轻轨2号线在[临江门]站下。坐公交车到[解放碑]站下。	0
不要在除官网以外的平台购买门票，不要问为什么，在国庆这种黄金周假期你绝对后悔。	0
园区组织管理能力低下，没有几个熊猫，高兴而来，败兴而归。	0
客服差到一流！还会骂人！买了票还不能退，淘宝都不如！这种服务怎么做官网	0
晚上去的，夜景灯光不错，但也许白天加上江景会更好。说不上趣味吧？就是各个景区都有的那些小店，卖大陆货的，中间好多层都成了酒店的一部分，对游客来讲没有意义。顶层的几家酒吧和餐吧看上去还不错，可以临江休闲，可惜座位太少，也看得出来景区的定位不是这个。没有门票，算是安慰。	0
不错。导游很好，很细心，玩的很开心，就是那天没有雪，有点遗憾	1
正好碰到下雪，雪山很漂亮，电子取票也很方便，12月15号之前有优惠，两段索道160，门票60，一共220一个人。	1
导游姐姐把里面所有的文化都给我们讲解了，是个不错的地方	1
重庆的特色建筑,融合了商业街的旅游休闲。里面有咖啡厅,餐厅和小吃。下午累了去那边坐会,看看风景,也是一种享受。也可以晚上去,去看夜景,灯火辉煌。	0
成都必看景点，三国迷的最爱～电子票取票很方便。夏季游览，郁郁葱葱，值得推荐	1
具有历史教育意义！三义庙附近出口就是锦里！游完锦里，可在出口处寻找景点直通车，购买其他景点门票。	1
全长500米 不仔细看十分钟就看完 其实可以扫二维码讲解的 但非要150的导游 这地方没讲解基本没办法看 这么高的门票 实在不厚道	0
解放碑很有名，但是其实就是商业街，买东西的地方。个人觉得没有太大游览价值，当然不来又太可惜。	0
怀着期盼而至，从停车到游园，总体印象是硬件较好，入园游客太多，基地组织不力，特别是在1号熊猫别墅处，带小孩游客在蜂涌和拥挤之下，容易发生事故，希望主管部门高度重视引导、疏散、防护工作。	0
熊猫出来的太少啦  而且指路牌也不太明显  不过国宝还是很可爱的	0
很方便、便捷，但要避开节假日，人太多了	1
成都必去景点，门口有景区直通车站，很方便，值得逛一逛。景区里还有微信导览，但是wifi不太给力。	1
兑换方便，就是排队太长，暑假人实在多	1
新年重庆游，洪崖洞又乱又差，真不值得。	0
没来之前不知道，这是有三国情缘的地方	1
爱国主义教育，以前书本上看到的爱国人士。可是，小朋友不喜欢。	1
跟锦里隔墙而立，出行很方便，租借的讲解机完全没必要，微信扫一下二维码关注就全出来了，比讲解机清晰明了，还可以反复收听	1
感怀诸葛亮为人师表的做人和鞠躬尽瘁死而后已的做事，感动诸葛亮和刘关张等古人的忠义，历史在这里慢慢沉淀，也需要我们慢慢地回到历史中回味，一定要有讲解	1
2018年的最后一天去的，人太多了，虽然各种排队，还是比较有序。风景是可以的，滑雪、堆雪人、夹雪球，…等等，还是好耍。	1
取票很方便，就在门口取票不用排队	1
总体感觉一般，有历史，无新意！	1
一般化，没有大一点的特色，景色还了席，情侣不适合去。	1
雪景太漂亮了，难得一见，很震撼	1
一千多的海拔，有一点高原反应了，不过看到这样的美景，还是值得	1
地方不大 很多后修的东西都是无用的 要走很远主要景点很小	0
总的来说这是一个庙，一个君臣合祀的地方。还算比较有意思，来签个到，打个卡咯	1
还有很多雪，路很滑。雾很大，没有看见什么风景。上面的东西那叫一个贵。还好有一家红旗连锁。	1
位于成都市，环境幽雅，风景优美，交通便利，值得看看。	1
能够很好的了解古蜀国的历史文化	1
到成都必须去得地方，里面很大，很好，很满意	1
太太太一般，排队5个小时，来回几分钟	0
和朋友一起去的 。。。。。。。	1
初四出来旅游，总的来说人比较多。排队是少不了的呵呵	1
还可以 太小了一点 人不是很多	1
感觉只是一般。不怎么样。票价太高了	1
感觉到了不去一趟吧，有点儿小遗憾。门票比较贵，人也算是热闹景点还行。大多数都是塑像，后面有些园林景观。	1
服务还可以。售后也可以。景色很漂亮！	1
